variable,reference period other than survey period,wave3,wave2,wave1,type,ordered
l_2m_infected,-,-,-,:ref:`w1e-q1`,Categorical,True
l_2m_acquaintance_infected,-,-,-,:ref:`w1e-q1`,Categorical,True
l_2m_hospital_if_infect_self,-,-,-,:ref:`w1e-q1`,Categorical,True
l_2m_quarantine,-,-,-,:ref:`w1e-q1`,Categorical,True
l_2m_infected_and_pass_on,-,-,-,:ref:`w1e-q1`,Categorical,True
p_2m_infected,-,:ref:`w3e-q1header`,:ref:`w2e-q1header`,-,float,-
p_2m_acquaintance_infected,-,:ref:`w3e-q1header`,:ref:`w2e-q1header`,-,float,-
p_2m_hospital_if_infect_self,-,:ref:`w3e-q1header`,:ref:`w2e-q1header`,-,float,-
p_2m_infected_and_pass_on,-,:ref:`w3e-q1header`,:ref:`w2e-q1header`,-,float,-
l_2m_hospital_healthy_30,-,-,-,:ref:`w1e-q2`,Categorical,True
l_2m_die_healthy_30,-,-,-,:ref:`w1e-q2`,Categorical,True
l_2m_hospital_healthy_75,-,-,-,:ref:`w1e-q2`,Categorical,True
l_2m_die_healthy_75,-,-,-,:ref:`w1e-q2`,Categorical,True
l_2m_hospital_healthy_5,-,-,-,:ref:`w1e-q2`,Categorical,True
l_2m_die_healthy_5,-,-,-,:ref:`w1e-q2`,Categorical,True
l_2m_hospital_preexist_30,-,-,-,:ref:`w1e-q2`,Categorical,True
l_2m_die_preexist_30,-,-,-,:ref:`w1e-q2`,Categorical,True
l_2m_hospital_preexist_75,-,-,-,:ref:`w1e-q2`,Categorical,True
l_2m_die_preexist_75,-,-,-,:ref:`w1e-q2`,Categorical,True
avoid_busy_places,-,-,-,:ref:`w1e-q3`,bool,-
avoid_public_places,-,-,-,:ref:`w1e-q3`,bool,-
maintain_distance,-,-,-,:ref:`w1e-q3`,bool,-
adjust_school_work,-,-,-,:ref:`w1e-q3`,bool,-
quarantine_symptoms,-,-,-,:ref:`w1e-q3`,bool,-
quarantine_no_symptoms,-,-,-,:ref:`w1e-q3`,bool,-
